Mots avec des préfixes multiples et un suffixe avec l'unicité :
-------------------------------------------------------------
abiogenèse | CRÉATION  SANS DE LA VIE | genèse - a - bio | gène - a+bio
stéréoisomère | PARTIE  SOLIDE -> ROBUSTE / DU RELIEF IDENTIQUE | mère - stéréo - iso |  - +iso
stéréolithographie | ÉCRITURE  SOLIDE -> ROBUSTE / DU RELIEF DE LA PIERRE | graphie - stéréo - litho | grapho - +litho
stéréomicroscope | VISIONNEUSE  SOLIDE -> ROBUSTE / DU RELIEF PETIT(E) | scope - stéréo - micro | scope - +micro
stéréophotographie | ÉCRITURE  SOLIDE -> ROBUSTE / DU RELIEF DE LA LUMIÈRE | graphie - stéréo - photo | grapho - +
stéréopréparation | ACTION  SOLIDE -> ROBUSTE / DU RELIEF AVANT À TRAVERS / DE PART EN PART / TERMINER / INTENSE | ation - stéréo - pré - par | ation - ++
stéréoradiographie | ÉCRITURE  SOLIDE -> ROBUSTE / DU RELIEF DU RAYONNEMENT | graphie - stéréo - radio | grapho - +
strobophotographie | ÉCRITURE  DU TOURBILLON DE LA LUMIÈRE | graphie - strobo - photo | grapho - +
superacide | QUI TUE  SUPÉRIEUR(E) / DESSUS SANS | cide - super - a |  - +a
superaérodynamique | MOUVEMENT  SUPÉRIEUR(E) / DESSUS DE L'AIR | dynamique - super - aéro | dyne - +
superantigène | GÉNÉRATEUR / ORIGINE  SUPÉRIEUR(E) / DESSUS CONTRE | gène - super - anti | gène - +anti
supercentenaire | AGÉ(E)  SUPÉRIEUR(E) / DESSUS DU CENTIÈME | enaire - super - cent | enaire - +
superhétérodyne | ÉNERGIE  SUPÉRIEUR(E) / DESSUS DE L'AUTRE | dyne - super - hétéro | dyne - +hétéro
superoxydation | ACTION  SUPÉRIEUR(E) / DESSUS DE L'OXYGÈNE / DE L'ACIDE | ation - super - oxyd | ation - +oxy : acide
superparamagnétisme | AIMANTATION  SUPÉRIEUR(E) / DESSUS À COTÉ | magnétisme - super - para | magnéto - +para
supersymétrie | MESURE  SUPÉRIEUR(E) / DESSUS AVEC | métrie - super - sy | métro (métron) - +syn
supersymétrique | MESURAGE  SUPÉRIEUR(E) / DESSUS AVEC | métrique - super - sy | métro (métron) - +syn
supraconducteur | QUI CONDUIT  SUPÉRIEUR(E) / AU-DESSUS / EN HAUT AVEC | ducteur - supra - con | duc - +
supraconductrice | QUI CONDUIT  SUPÉRIEUR(E) / AU-DESSUS / EN HAUT AVEC | ductrice - supra - con | duc - +
supramastite | INFLAMMATION  SUPÉRIEUR(E) / AU-DESSUS / EN HAUT DU SEIN | ite - supra - mast |  - +
suroxydation | ACTION  SUPÉRIEUR(E) / DESSUS DE L'OXYGÈNE / DE L'ACIDE | ation - sur - oxyd | ation - +oxy : acide
suroxygénation | ACTION  SUPÉRIEUR(E) / DESSUS AIGU(E) -> DE L'OXYGÈNE DE LA RACE | ation - sur - oxy - gén | ation - +oxy : aigu+gène
suroxygène | GÉNÉRATEUR / ORIGINE  SUPÉRIEUR(E) / DESSUS AIGU(E) -> DE L'OXYGÈNE | gène - sur - oxy | gène - +oxy : aigu
surproducteur | QUI CONDUIT  SUPÉRIEUR(E) / DESSUS DEVANT / EN FAVEUR DE / À LA PLACE DE | ducteur - sur - pro | duc - +
surproductrice | QUI CONDUIT  SUPÉRIEUR(E) / DESSUS DEVANT / EN FAVEUR DE / À LA PLACE DE | ductrice - sur - pro | duc - +
syllogomanie | OBSESSION  AVEC DE LA PAROLE | manie - syl - logo | mane (mania) - syn+logo
sylphilide | APPARENCE  AVEC DE L'AMOUR | ide - syl - phil | eidos - syn+philo
symbrachydactylie | DOIGT  AVEC COURT(E) | dactylie - sym - brachy | dactylo - syn+
symétrique | À PROPOS  AVEC DE LA MESURE | ique - sy - métr |  - syn+métro (métron)
symmétrodonte | DENT  AVEC DE LA MESURE | odonte - sym - métr |  - syn+métro (métron)
sympathicogonioblastome | TUMEUR  DU SYSTÈME NERVEUX SYMPATHIQUE DE L'ANGLE DU GERME | ome - sympathico - gonio - blast |  - sympathico+gono (gonia)+
sympathoblastique | À PROPOS  DU SYSTÈME NERVEUX SYMPATHIQUE DU GERME | ique - sympatho - blast |  - sympatho+
sympathoblastome | TUMEUR  DU SYSTÈME NERVEUX SYMPATHIQUE DU GERME | ome - sympatho - blast |  - sympatho+
symphoniste | ADEPTE / SPÉCIALISTE  AVEC DE LA VOIX | iste - sym - phon |  - syn+
symphysiogyne | FEMME / FEMELLE  AVEC DU CORPS | gyne - sym - physio | gyno - syn+physio
sympiézomètre | MESUREUR  AVEC DE LA PRESSION | mètre - sym - piézo | métro (métron) - syn+piézo
symplasmique | À PROPOS  AVEC DE LA FORMATION | ique - sym - plasm |  - syn+plasmo
synapomorphie | FORME  AVEC HORS | morphie - syn - apo | morpho - syn+apo
synchondrotomie | DÉCOUPE  AVEC DU CARTILAGE | tomie - syn - chondro | tomo - syn+
synchromisme | DOCTRINE / ÉTAT / PROFESSION  AVEC DE LA COULEUR | isme - syn - chrom |  - syn+chromo
synchromiste | ADEPTE / SPÉCIALISTE  AVEC DE LA COULEUR | iste - syn - chrom |  - syn+chromo
synchronologie | ÉTUDE  AVEC DU TEMPS | logie - syn - chrono | logo - syn+chrono
synéchotomie | DÉCOUPE  AVEC DE L'ÉCHO | tomie - syn - écho | tomo - syn+
synécologie | ÉTUDE  AVEC DE LA MAISON -> DE L'ÉCOLOGIE / DE L'ÉCONOMIE | logie - syn - éco | logo - syn+
synencéphalocèle | TUMEUR / HERNIE  AVEC DU CERVEAU | cèle - syn - encéphalo |  - syn+
synergide | APPARENCE  AVEC DU TRAVAIL | ide - syn - erg | eidos - syn+ergo
synergique | À PROPOS  AVEC DU TRAVAIL | ique - syn - erg |  - syn+ergo
synergisme | DOCTRINE / ÉTAT / PROFESSION  AVEC DU TRAVAIL | isme - syn - erg |  - syn+ergo
synergiste | ADEPTE / SPÉCIALISTE  AVEC DU TRAVAIL | iste - syn - erg |  - syn+ergo
syngénite | INFLAMMATION  AVEC DE LA RACE | ite - syn - gén |  - syn+gène
synoptophore | PORTEUR  AVEC DE LA VISION | phore - syn - opto | phore - syn+
synoptoscope | VISIONNEUSE  AVEC DE LA VISION | scope - syn - opto | scope - syn+
synostéologie | ÉTUDE  AVEC DE L'OS | logie - syn - ostéo | logo - syn+
syphilide | APPARENCE  AVEC DE L'AMOUR | ide - sy - phil | eidos - syn+philo
syphilographe | QUI ÉCRIT  AVEC DE L'AMOUR | graphe - sy - philo | grapho - syn+philo
syphilographie | ÉCRITURE  AVEC DE L'AMOUR | graphie - sy - philo | grapho - syn+philo
syphiloïde | APPARENCE  AVEC DE L'AMOUR | ïde - sy - philo |  - syn+philo
syphilophobe | QUI A HORREUR  AVEC DE L'AMOUR | phobe - sy - philo | phobe - syn+philo
syphilophobie | AVERSION  AVEC DE L'AMOUR | phobie - sy - philo | phobe - syn+philo
tachycardique | À PROPOS  RAPIDE DU CŒUR | ique - tachy - card |  - +
tachyhydrite | INFLAMMATION  RAPIDE DE L'EAU | ite - tachy - hydr |  - +hydro
taxidermiste | ADEPTE / SPÉCIALISTE  DE LA DISPOSITION DE LA PEAU | iste - taxi - derm |  - +
technodémocratie | GOUVERNANCE  DE LA TECHNIQUE DU PEUPLE | cratie - techno - démo | crate - +démo
technoéconomique | LOI  DE LA TECHNIQUE DE LA MAISON -> DE L'ÉCOLOGIE / DE L'ÉCONOMIE | nomique - techno - éco |  - +
technopolymère | PARTIE  DE LA TECHNIQUE MULTIPLE | mère - techno - poly |  - +
technotypologie | ÉTUDE  DE LA TECHNIQUE DE L'EMPREINTE | logie - techno - typo | logo - +
téléautographe | QUI ÉCRIT  À DISTANCE DE SOI-MÊME | graphe - télé - auto | grapho - +
téléautographie | ÉCRITURE  À DISTANCE DE SOI-MÊME | graphie - télé - auto | grapho - +
téléautographique | ÉCRITURE  À DISTANCE DE SOI-MÊME | graphique - télé - auto | grapho - +
téléchélique | À PROPOS  À DISTANCE DE LA PINCE | ique - télé - chél |  - +
télédiaphonie | VOIX  À DISTANCE À TRAVERS | phonie - télé - dia |  - +
télégraphiste | ADEPTE / SPÉCIALISTE  À DISTANCE DE L'ÉCRITURE | iste - télé - graph |  - +grapho
téléiconographe | QUI ÉCRIT  À DISTANCE DE L'IMAGE | graphe - télé - icono | grapho - +
télémétreur | AGENT / QUALITÉ  À DISTANCE DE LA MESURE | eur - télé - métr |  - +métro (métron)
télémétreuse | AGENTE / QUALITÉ  À DISTANCE DE LA MESURE | euse - télé - métr |  - +métro (métron)
téléphoneur | AGENT / QUALITÉ  À DISTANCE DE LA VOIX | eur - télé - phon |  - +
téléphoneuse | AGENTE / QUALITÉ  À DISTANCE DE LA VOIX | euse - télé - phon |  - +
téléphoniste | ADEPTE / SPÉCIALISTE  À DISTANCE DE LA VOIX | iste - télé - phon |  - +
téléphonométrie | MESURE  À DISTANCE DE LA VOIX | métrie - télé - phono | métro (métron) - +
téléphotographie | ÉCRITURE  À DISTANCE DE LA LUMIÈRE | graphie - télé - photo | grapho - +
téléphotographique | ÉCRITURE  À DISTANCE DE LA LUMIÈRE | graphique - télé - photo | grapho - +
téléradiocinématographie | ÉCRITURE  À DISTANCE DU RAYONNEMENT DU MOUVEMENT | graphie - télé - radio - cinémato | grapho - ++cinèse
téléradiographie | ÉCRITURE  À DISTANCE DU RAYONNEMENT | graphie - télé - radio | grapho - +
téléradiologie | ÉTUDE  À DISTANCE DU RAYONNEMENT | logie - télé - radio | logo - +
téléradiophotographie | ÉCRITURE  À DISTANCE DU RAYONNEMENT DE LA LUMIÈRE | graphie - télé - radio - photo | grapho - ++
téléradioscopie | EXAMEN  À DISTANCE DU RAYONNEMENT | scopie - télé - radio | scope - +
téléradiothérapie | MÉDECINE  À DISTANCE DU RAYONNEMENT | thérapie - télé - radio | thérapie - +
télestéréoscope | VISIONNEUSE  À DISTANCE SOLIDE -> ROBUSTE / DU RELIEF | scope - téle - stéréo | scope - +
téléthermographie | ÉCRITURE  À DISTANCE DE LA CHALEUR | graphie - télé - thermo | grapho - +thermo
télétoxique | À PROPOS  À DISTANCE TOXIQUE | ique - télé - tox |  - +
tératoblastome | TUMEUR  DU MONSTRE DU GERME | ome - térato - blast |  - +
tétracentigrade | MARCHE  QUATRE DU CENTIÈME | grade - tétra - centi |  - tétra+
tétragonosomie | CORPS  QUATRE DE LA PROCRÉATION | somie - tétra - gono | somato - tétra+gono (gonos)
tétraphyllide | APPARENCE  QUATRE DE LA FEUILLE | ide - tétra - phyll | eidos - tétra+
tétrasyllabe | PRISE  QUATRE AVEC | labe - tétra - syl |  - tétra+syn
théophilanthrope | HOMME  DU DIVIN DE L'AMOUR | anthrope - théo - phil | anthropo - +philo
théophilanthropie | HOMME  DU DIVIN DE L'AMOUR | anthropie - théo - phil | anthropo - +philo
théophilanthropique | HOMME  DU DIVIN DE L'AMOUR | anthropique - théo - phil | anthropo - +philo
thermoanalgésie | DOULEUR  DE LA CHALEUR SANS | algésie - thermo - an | algos - thermo+an
thermoanesthésie | SENSATION  DE LA CHALEUR SANS | esthésie - thermo - an |  - thermo+an
thermocolorimètre | MESUREUR  DE LA CHALEUR DE LA COULEUR | mètre - thermo - colori | métro (métron) - thermo+colore
thermoélectronique | À PROPOS  DE LA CHALEUR DE L'AMBRE -> DE L'ÉLECTRICITÉ | ique - thermo - électron |  - thermo+électricité
thermogravimétrie | MESURE  DE LA CHALEUR DU POIDS | métrie - thermo - gravi | métro (métron) - thermo+
thermogravimétrique | MESURAGE  DE LA CHALEUR DU POIDS | métrique - thermo - gravi | métro (métron) - thermo+
thermoludique | À PROPOS  DE LA CHALEUR DU JEU | ique - thermo - lud |  - thermo+
thermoludisme | DOCTRINE / ÉTAT / PROFESSION  DE LA CHALEUR DU JEU | isme - thermo - lud |  - thermo+
thermomagnétométrie | MESURE  DE LA CHALEUR DE L'AIMANT | métrie - thermo - magnéto | métro (métron) - thermo+magnéto
thermomanomètre | MESUREUR  DE LA CHALEUR DE LA PRESSION | mètre - thermo - mano | métro (métron) - thermo+mano
thermométamorphisme | FORME  DE LA CHALEUR AU-DELÀ / APRÈS | morphisme - thermo - méta | morpho - thermo+
thermométrographe | QUI ÉCRIT  DE LA CHALEUR DE LA MESURE | graphe - thermo - métro | grapho - thermo+métro (métron)
thermoparesthésie | SENSATION  DE LA CHALEUR À TRAVERS / DE PART EN PART / TERMINER / INTENSE | esthésie - thermo - par |  - thermo+
thermopathologique | ÉTUDE  DE LA CHALEUR DE LA MALADIE | logique - thermo - patho | logo - thermo+patho (souffrance)
thermophyllite | INFLAMMATION  DE LA CHALEUR DE LA FEUILLE | ite - thermo - phyll |  - thermo+
thermophysiologie | ÉTUDE  DE LA CHALEUR DU CORPS | logie - thermo - physio | logo - thermo+physio
thermorhéostat | MAINTIEN  DE LA CHALEUR DE L'ÉCOULEMENT | stat - thermo - rhéo | statos - thermo+
thrombocytolyse | DÉCOMPOSITION  DU CAILLOT DE LA CELLULE | lyse - thrombo - cyto |  - +
thrombocytopénie | PAUVRETÉ  DU CAILLOT DE LA CELLULE | pénie - thrombo - cyto |  - +
thrombocytopoïèse | CRÉATION  DU CAILLOT DE LA CELLULE | poïèse - thrombo - cyto | poïèse - +
thrombodynamogramme | ÉCRITURE  DU CAILLOT DE LA FORCE | gramme - thrombo - dynamo | gramma - +dyne
thrombodynamographe | QUI ÉCRIT  DU CAILLOT DE LA FORCE | graphe - thrombo - dynamo | grapho - +dyne
thrombodynamographie | ÉCRITURE  DU CAILLOT DE LA FORCE | graphie - thrombo - dynamo | grapho - +dyne
thrombophlébite | INFLAMMATION  DU CAILLOT DE LA VEINE | ite - thrombo - phléb |  - +
tomodensimètre | MESUREUR  DÉCOUPÉ(E) DENSE | mètre - tomo - densi | métro (métron) - tomo+
tomodensimétrie | MESURE  DÉCOUPÉ(E) DENSE | métrie - tomo - densi | métro (métron) - tomo+
tomodensimétrique | MESURAGE  DÉCOUPÉ(E) DENSE | métrique - tomo - densi | métro (métron) - tomo+
tomodensitomètre | MESUREUR  DÉCOUPÉ(E) DENSE | mètre - tomo - densito | métro (métron) - tomo+
tomodensitométrie | MESURE  DÉCOUPÉ(E) DENSE | métrie - tomo - densito | métro (métron) - tomo+
tomodensitométrique | MESURAGE  DÉCOUPÉ(E) DENSE | métrique - tomo - densito | métro (métron) - tomo+
tomoéchographie | ÉCRITURE  DÉCOUPÉ(E) DE L'ÉCHO | graphie - tomo - écho | grapho - tomo+
tomophotographie | ÉCRITURE  DÉCOUPÉ(E) DE LA LUMIÈRE | graphie - tomo - photo | grapho - tomo+
toxaphène | APPARITION  TOXIQUE SANS | phène - tox - a |  - +a
toxicomanogène | GÉNÉRATEUR / ORIGINE  TOXIQUE DE LA PRESSION | gène - toxico - mano | gène - +mano
toxicomanologie | ÉTUDE  TOXIQUE DE LA PRESSION | logie - toxico - mano | logo - +mano
toxicomanologique | ÉTUDE  TOXIQUE DE LA PRESSION | logique - toxico - mano | logo - +mano
toxicomanologiste | SPÉCIALISTE  TOXIQUE DE LA PRESSION | logiste - toxico - mano | logo - +mano
toxoplasmique | À PROPOS  ARC DE LA FORMATION | ique - toxo - plasm |  - +plasmo
transactinide | APPARENCE  DU PASSAGE À TRAVERS / AU-DELÀ DU RAYON | ide - trans - actin | eidos - trans : passage+
transatmosphérique | SPHÈRE  DU PASSAGE À TRAVERS / AU-DELÀ DE LA VAPEUR, L'AIR | sphérique - trans - atmo |  - trans : passage+
transcystique | À PROPOS  DU PASSAGE À TRAVERS / AU-DELÀ DE LA VESSIE -> DE LA VÉSICULE | ique - trans - cyst |  - trans : passage+
transplantable | QUI PEUT ÊTRE  DU PASSAGE À TRAVERS / AU-DELÀ DE LA PLANTE | able - trans - plant |  - trans : passage+
transplantation | ACTION  DU PASSAGE À TRAVERS / AU-DELÀ DE LA PLANTE | ation - trans - plant | ation - trans : passage+
transplanteur | AGENT / QUALITÉ  DU PASSAGE À TRAVERS / AU-DELÀ DE LA PLANTE | eur - trans - plant |  - trans : passage+
transplanteuse | AGENTE / QUALITÉ  DU PASSAGE À TRAVERS / AU-DELÀ DE LA PLANTE | euse - trans - plant |  - trans : passage+
triacétique | À PROPOS  TRIPLE DE L'ACIDE ACÉTIQUE | ique - tri - acét |  - +
triacide | QUI TUE  TRIPLE SANS | cide - tri - a |  - +a
trialogue | SPÉCIALISTE / DISCOURS  TRIPLE SANS | logue - tri - a | logo - +a
trialuminique | LUMIÈRE  TRIPLE SANS | luminique - tri - a | lumen - +a
triandrique | À PROPOS  TRIPLE DE L'HOMME / DU MALE | ique - tri - andr |  - +andro
triatome | COUPURE  TRIPLE SANS | tome - tri - a | tomo - +a
triatomique | DÉCOUPE  TRIPLE SANS | tomique - tri - a | tomo - +a
triblastique | À PROPOS  TRIPLE DU GERME | ique - tri - blast |  - +
tricalcique | À PROPOS  TRIPLE DU CALCIUM | ique - tri - calc |  - +
tricarboxylique | À PROPOS  TRIPLE DU CHARBON DU BOIS | ique - tri - carbo - xyl |  - +carbo+xylo
tricentenaire | AGÉ(E)  TRIPLE DU CENTIÈME | enaire - tri - cent | enaire - +
trichloracétique | À PROPOS  TRIPLE CHLORÉ(E) DE L'ACIDE ACÉTIQUE | ique - tri - chlor - acét |  - +chloro : chlore+
tricholeucocyte | CELLULE  DU POIL BLANC(HE) | cyte - tricho - leuco |  - tricho : poil+
trichophytide | APPARENCE  DU POIL DU VÉGÉTAL | ide - tricho - phyt | eidos - tricho : poil+
trichophytique | À PROPOS  DU POIL DU VÉGÉTAL | ique - tricho - phyt |  - tricho : poil+
trichromatique | À PROPOS  TRIPLE DE LA COULEUR | ique - tri - chromat |  - +chromo
triconodonte | DENT  TRIPLE AVEC | odonte - tri - con |  - +
trigonocéphale | TÊTE  TRIPLE DE LA PROCRÉATION | céphale - tri - gono |  - +gono (gonos)
trigonocéphalie | TÊTE  TRIPLE DE LA PROCRÉATION | céphalie - tri - gono |  - +gono (gonos)
trigonocratie | GOUVERNANCE  TRIPLE DE LA PROCRÉATION | cratie - tri - gono | crate - +gono (gonos)
trigonométrie | MESURE  TRIPLE DE LA PROCRÉATION | métrie - tri - gono | métro (métron) - +gono (gonos)
trigonométrique | MESURAGE  TRIPLE DE LA PROCRÉATION | métrique - tri - gono | métro (métron) - +gono (gonos)
trigonosomie | CORPS  TRIPLE DE LA PROCRÉATION | somie - tri - gono | somato - +gono (gonos)
trihalogène | GÉNÉRATEUR / ORIGINE  TRIPLE DU SEL / DE LA MER | gène - tri - halo | gène - +
trihémimère | PARTIE  TRIPLE À MOITIÉ | mère - tri - hémi |  - +
trihémimètre | MESUREUR  TRIPLE À MOITIÉ | mètre - tri - hémi | métro (métron) - +
trihexaèdre | BASE -> FACE  TRIPLE SIX | èdre - tri - hexa |  - +
trinitration | ACTION  TRIPLE DU NITRE -> AZOTÉ(E) | ation - tri - nitr | ation - +
trioctaèdre | BASE -> FACE  TRIPLE HUIT | èdre - tri - octa |  - +octo:8
trissyllabe | PRISE  TRIPLE AVEC | labe - tris - syl |  - +syn
trisyllabe | PRISE  TRIPLE AVEC | labe - tri - syl |  - +syn
trisyndrome | PISTE  TRIPLE AVEC | drome - tri - syn | drome - +syn
trophectoderme | PEAU  DE LA NOURRITURE / DE LA CROISSANCE AU DEHORS | derme - troph - ecto |  - tropho+
trophoblastique | À PROPOS  DE LA NOURRITURE / DE LA CROISSANCE DU GERME | ique - tropho - blast |  - tropho+
trophoblastome | TUMEUR  DE LA NOURRITURE / DE LA CROISSANCE DU GERME | ome - tropho - blast |  - tropho+
typolithographie | ÉCRITURE  DE L'EMPREINTE DE LA PIERRE | graphie - typo - litho | grapho - +litho
typolithographique | ÉCRITURE  DE L'EMPREINTE DE LA PIERRE | graphique - typo - litho | grapho - +litho
typophotographie | ÉCRITURE  DE L'EMPREINTE DE LA LUMIÈRE | graphie - typo - photo | grapho - +
typophotographique | ÉCRITURE  DE L'EMPREINTE DE LA LUMIÈRE | graphique - typo - photo | grapho - +
ultracentrifuge | FUITE  EXTRÊME DU CENTRE | fuge - ultra - centri |  - +centro
ultradiathermie | CHALEUR  EXTRÊME À TRAVERS | thermie - ultra - dia | thermo - +
ultramicroscope | VISIONNEUSE  EXTRÊME PETIT(E) | scope - ultra - micro | scope - +micro
ultramicroscopie | EXAMEN  EXTRÊME PETIT(E) | scopie - ultra - micro | scope - +micro
ultramicroscopique | EXAMEN  EXTRÊME PETIT(E) | scopique - ultra - micro | scope - +micro
ultraorthodoxe | OPINION  EXTRÊME DROIT(E) | doxe - ultra - ortho |  - +
ultrasonocardiographie | ÉCRITURE  EXTRÊME DU SON DU CŒUR | graphie - ultra - sono - cardio | grapho - +sono+
ultrasonogramme | ÉCRITURE  EXTRÊME DU SON | gramme - ultra - sono | gramma - +sono
ultrasonographie | ÉCRITURE  EXTRÊME DU SON | graphie - ultra - sono | grapho - +sono
ultrasonographique | ÉCRITURE  EXTRÊME DU SON | graphique - ultra - sono | grapho - +sono
ultrasonoscopie | EXAMEN  EXTRÊME DU SON | scopie - ultra - sono | scope - +sono
ultrasonothérapie | MÉDECINE  EXTRÊME DU SON | thérapie - ultra - sono | thérapie - +sono
ultrasonotomographie | ÉCRITURE  EXTRÊME DU SON DÉCOUPÉ(E) | graphie - ultra - sono - tomo | grapho - +sono+tomo
uranostéoplastie | FAÇONNEMENT  DE L'URINE SANS DE L'OS | plastie - ur - an - ostéo | plasmo - +an+
urémigène | GÉNÉRATEUR / ORIGINE  DE L'URINE DE LA MOITIÉ | gène - uré - mi | gène - +mi
uricogenèse | CRÉATION  DE L'URINE AVEC | genèse - uri - co | gène - +
uricolyse | DÉCOMPOSITION  DE L'URINE AVEC | lyse - uri - co |  - +
uricolytique | DÉCOMPOSITION  DE L'URINE AVEC | lytique - uri - co |  - +
uricopexie | FIXATION  DE L'URINE AVEC | pexie - uri - co |  - +
uricopoïèse | CRÉATION  DE L'URINE AVEC | poïèse - uri - co | poïèse - +
uricosurique | À PROPOS  DE L'URINE AVEC SUPÉRIEUR(E) / DESSUS | ique - uri - co - sur |  - ++
uricozyme | LEVAIN -> ENZYME  DE L'URINE AVEC | zyme - uri - co |  - +
urocystite | INFLAMMATION  DE L'URINE DE LA VESSIE -> DE LA VÉSICULE | ite - uro - cyst |  - +
urocytogramme | ÉCRITURE  DE L'URINE DE LA CELLULE | gramme - uro - cyto | gramma - +
vectocardiogramme | ÉCRITURE  DU VECTEUR DU CŒUR | gramme - vecto - cardio | gramma - +
vectocardiographe | QUI ÉCRIT  DU VECTEUR DU CŒUR | graphe - vecto - cardio | grapho - +
vectocardiographie | ÉCRITURE  DU VECTEUR DU CŒUR | graphie - vecto - cardio | grapho - +
vidéoludique | À PROPOS  DE LA VIDÉO DU JEU | ique - vidéo - lud |  - +
vitivinicole | CULTIVER / HABITER / RENDRE UN CULTE  DE LA VIGNE DU VIN | cole - viti - vini | cult - vitis+
vitiviniculteur | CULTIVATEUR  DE LA VIGNE DU VIN | culteur - viti - vini | cult - vitis+
vitiviniculture | CULTURE  DE LA VIGNE DU VIN | culture - viti - vini | cult - vitis+
xanthochromique | À PROPOS  JAUNE DE LA COULEUR | ique - xantho - chrom |  - +chromo
xanthoconite | INFLAMMATION  JAUNE AVEC | ite - xantho - con |  - +
xanthomisation | ACTION  JAUNE QUI DÉTESTE | ation - xantho - mis | ation - +
xanthoprotéique | À PROPOS  JAUNE DE LA PROTÉINE | ique - xantho - proté |  - +
